Name,Age
Filename , Cap V1 , Cap MM , Cap V2 , #Parking , #MM , #Robot , Case , Total Distance , Execution time 
Diana,28
Edward,34
Paul,27
Paul,27
C101-10,600,600,100,16,10,objective_value,1.764923417
C101-10,600,600,100,16,10,252.11169410586584,1.76848625
C101-10,10000,600,100,16,10,f,252.11169410586584,1.810424458
C101-10,10000,600,100,16,10,f,252.11169410586584,1.774921416
C101-10,10000,600,100,16,10,f,252.11169410586584,1.825277
C101-10,10000,600,100,16,10,f,252.11169410586515,191.596586562
C101-10,10000,600,100,16,10,f,252.11169410586515,198.728242265
C101-10,10000,600,100,16,10,f,252.11169410586515,5.646580048
C101-10,10000,600,100,16,10,f,252.11169410586515,191.059961277
C101_50,10000,600,50,16,10,f,1094.486317491145,470.528729794
C101-10,10000,600,100,16,10,f,252.11169410586584,1.836339833
C101-10-Q100,10000,600,100,16,10,f,252.11169410586584,1.800452375
C101-10-Q100,10000,600,100,16,10,f,252.11169410586584,1.808976666
C101-10-Q100,10000,600,100,16,10,10,f,252.11169410586584,1.7707505
C101-10-Q100-R10,10000,600,100,16,10,10,f,252.11169410586584,1.7802565
C101-70-Q80-R10,10000,600,80,25,16,f,No feasible solution found
R102-Q50-R10,10000,600,50,25,16,f,No feasible solution found
R101_50-Q50-R10,10000,600,50,16,10,10,f,979.4010504285221,536.022329502
C101-Q50-R10,10000,600,50,25,16,f,No feasible solution found
2024-10-24T23:36:27.690,C101-10-Q100-R10,10000,600,100,16,10,10,f,10,252.11169410586584,1.823989791
24-10-2024 23:38,C101-10-Q100-R10,10000,600,100,16,10,10,f,10,252.11169410586584,1.828854584
24-10-2024 23:45,C101-10-Q100-R10,10000,600,100,16,10,10,f,10,252.11169410586584,1.82013425
24-10-2024 23:47,C101-10-Q100-R10,10000,600,100,16,10,10,f,10,252.11169410586584,1.796206667
24-10-2024 23:49,C101-10-Q100-R10,10000,600,100,16,10,10,f,10,252.11169410586584,1.799708791
24-10-2024 23:53,C101-10-Q100-R10,10000,600,100,16,10,10,f,10,252.11169410586584,1.788553417
24-10-2024 23:56,C101-10-Q100,10000,600,100,16,10,10,f,10,252.11169410586584,1.765479333
24-10-2024 23:57,C101-10-Q100,10000,600,100,16,10,10,f,10,252.11169410586584,1.808999875
24-10-2024 23:58,C101-10-Q100,10000,600,100,16,10,10,f,10,252.11169410586584,1.767889542
24-10-2024 23:58,C101-10-Q100,10000,600,100,16,10,10,f,10,252.11169410586584,1.76917075
24-10-2024 23:59,C101-10-Q100,10000,600,100,16,10,10,f,5,252.11169410586584,1.830399375
